ensemblID,systemsBiologyOntologyTerm,hm_38_gene,hm_19_gene
ENSG00000000419,"""SBO:0000243""",bio/hg38_DPM1,bio/hg19_DPM1
ENSG00000000938,"""SBO:0000243""",bio/hg38_FGR,bio/hg19_FGR
ENSG00000001036,"""SBO:0000243""",bio/hg38_FUCA2,bio/hg19_FUCA2
ENSG00000001084,"""SBO:0000243""",bio/hg38_GCLC,bio/hg19_GCLC
ENSG00000001630,"""SBO:0000243""",bio/hg38_CYP51A1,bio/hg19_CYP51A1
ENSG00000002549,"""SBO:0000243""",bio/hg38_LAP3,bio/hg19_LAP3
ENSG00000002587,"""SBO:0000243""",bio/hg38_HS3ST1,bio/hg19_HS3ST1
ENSG00000002726,"""SBO:0000243""",bio/hg38_AOC1,bio/hg19_AOC1
ENSG00000002746,"""SBO:0000243""",bio/hg38_HECW1,bio/hg19_HECW1
ENSG00000003137,"""SBO:0000243""",bio/hg38_CYP26B1,bio/hg19_CYP26B1
ENSG00000003987,"""SBO:0000243""",bio/hg38_MTMR7,bio/hg19_MTMR7
ENSG00000003989,"""SBO:0000243""",bio/hg38_SLC7A2,bio/hg19_SLC7A2
ENSG00000004455,"""SBO:0000243""",bio/hg38_AK2,bio/hg19_AK2
ENSG00000004468,"""SBO:0000243""",bio/hg38_CD38,bio/hg19_CD38
ENSG00000004478,"""SBO:0000243""",bio/hg38_FKBP4,bio/hg19_FKBP4
ENSG00000004660,"""SBO:0000243""",bio/hg38_CAMKK1,bio/hg19_CAMKK1
ENSG00000004779,"""SBO:0000243""",bio/hg38_NDUFAB1,bio/hg19_NDUFAB1
ENSG00000004799,"""SBO:0000243""",bio/hg38_PDK4,bio/hg19_PDK4
ENSG00000004809,"""SBO:0000243""",bio/hg38_SLC22A16,bio/hg19_SLC22A16
ENSG00000004864,"""SBO:0000243""",bio/hg38_SLC25A13,bio/hg19_SLC25A13
ENSG00000004939,"""SBO:0000243""",bio/hg38_SLC4A1,bio/hg19_SLC4A1
